30/07 02:48:56.6  ERROR  14216 FlashMainStream.cpp[149]     Method client FCPublish not found in application /live
30/07 02:48:56.6  NOTE   14216 MonaTiny.cpp[157]            Client publish stream
30/07 02:48:56.6  INFO   14216 Publication.cpp[105]         Publication stream started
30/07 02:48:56.6  INFO   14216 Publication.cpp[378]         Write stream publication properties {1.2.1: false, 1.3.1: false, 1.4.0: false, 1.4.1: false, 1.5.1: false, 1.7.1: false, 1.audiochannels: 2, 1.audiocodecid: mp4a, 1.audiodatarate: 160, 1.audiosamplerate: 44100, 1.audiosamplesize: 16, 1.duration: 0, 1.encoder: obs-output module (libobs version 25.0.8), 1.fileSize: 0, 1.framerate: 60, 1.height: 720, 1.stereo: true, 1.videocodecid: avc1, 1.videodatarate: 6000, 1.width: 1280}
30/07 02:48:56.6  INFO   14216 Subscription.cpp[321]        Properties sent to one stream subscription
30/07 02:49:03.6  WARN   14216 Subscription.cpp[460]        Video timeout, insufficient bandwidth to play stream
30/07 02:49:03.6  INFO   14216 MonaTiny.cpp[191]            RTMP 127.0.0.1:54867 unsubscribe to stream
30/07 02:49:08.2  WARN   14216 TCPSession.cpp[32]           RTMP session 1, Connection reseted (from=0.0.0.0:0, size=2048, flags=0)
30/07 02:49:08.2  WARN   14216 TCPSession.cpp[32]           RTMP session 1, Connection aborted
30/07 02:49:09.6  INFO   14216 Server.cpp[124]              1 clients
30/07 02:49:11.9  ERROR  14216 FlashMainStream.cpp[149]     Method client getStreamLength not found in application /live
30/07 02:49:11.9  INFO   14216 MonaTiny.cpp[178]            RTMP 127.0.0.1:54954 subscribe to stream
30/07 02:49:11.9  INFO   14216 FlashStream.cpp[130]         setBufferTime 3000ms on stream stream
30/07 02:49:11.9  INFO   14216 Subscription.cpp[321]        Properties sent to one stream subscription
30/07 02:49:13.6  INFO   14216 Server.cpp[124]              2 clients
30/07 02:49:17.7  ERROR  14216 FlashMainStream.cpp[149]     Method client FCUnpublish not found in application /live
30/07 02:49:17.7  INFO   14216 Publication.cpp[160]         Publication stream stopped
30/07 02:49:17.7  NOTE   14216 MonaTiny.cpp[168]            Client unpublish stream
30/07 02:49:19.6  INFO   14216 Server.cpp[124]              1 clients
30/07 02:49:20.7  INFO   14216 MonaTiny.cpp[191]            RTMP 127.0.0.1:54954 unsubscribe to stream
30/07 02:49:21.6  INFO   14216 Server.cpp[124]              0 clients
30/07 02:49:22.7  ERROR  14216 FlashMainStream.cpp[149]     Method client getStreamLength not found in application /live
30/07 02:49:22.7  INFO   14216 MonaTiny.cpp[178]            RTMP 127.0.0.1:54959 subscribe to stream
30/07 02:49:22.7  INFO   14216 FlashStream.cpp[130]         setBufferTime 3000ms on stream stream
30/07 02:49:23.6  INFO   14216 Server.cpp[124]              1 clients
30/07 02:49:24.1  ERROR  14216 FlashMainStream.cpp[149]     Method client releaseStream not found in application /live
30/07 02:49:24.1  ERROR  14216 FlashMainStream.cpp[149]     Method client FCPublish not found in application /live
30/07 02:49:24.1  NOTE   14216 MonaTiny.cpp[157]            Client publish stream
30/07 02:49:24.1  INFO   14216 Publication.cpp[105]         Publication stream started
30/07 02:49:24.1  INFO   14216 Publication.cpp[378]         Write stream publication properties {1.2.1: false, 1.3.1: false, 1.4.0: false, 1.4.1: false, 1.5.1: false, 1.7.1: false, 1.audiochannels: 2, 1.audiocodecid: mp4a, 1.audiodatarate: 160, 1.audiosamplerate: 44100, 1.audiosamplesize: 16, 1.duration: 0, 1.encoder: obs-output module (libobs version 25.0.8), 1.fileSize: 0, 1.framerate: 60, 1.height: 720, 1.stereo: true, 1.videocodecid: avc1, 1.videodatarate: 6000, 1.width: 1280}
30/07 02:49:24.1  INFO   14216 Subscription.cpp[321]        Properties sent to one stream subscription
30/07 02:49:25.6  INFO   14216 Server.cpp[124]              2 clients
30/07 04:29:22.2  ERROR  14216 FlashMainStream.cpp[149]     Method client FCUnpublish not found in application /live
30/07 04:29:22.2  INFO   14216 Publication.cpp[160]         Publication stream stopped
30/07 04:29:22.2  NOTE   14216 MonaTiny.cpp[168]            Client unpublish stream
30/07 04:29:23.8  INFO   14216 Server.cpp[124]              1 clients
30/07 04:29:36.1  WARN   14216 TCPSession.cpp[32]           RTMP session 1, Connection reseted (from=0.0.0.0:0, size=2048, flags=0)
30/07 04:29:36.1  WARN   14216 TCPSession.cpp[32]           RTMP session 1, Connection aborted
30/07 04:29:36.1  INFO   14216 MonaTiny.cpp[191]            RTMP 127.0.0.1:54959 unsubscribe to stream
30/07 04:29:37.8  INFO   14216 Server.cpp[124]              0 clients
30/07 20:47:15.2  INFO   2948 Application.cpp[130]          MonaTiny v1.265
30/07 20:47:15.3  NOTE   8816 Protocols.h[132]              RTMFP server started on 0.0.0.0:1935 (UDP)
30/07 20:47:15.3  NOTE   8816 Protocols.h[132]              RTMP server started on 0.0.0.0:1935 (TCP)
30/07 20:47:15.3  NOTE   8816 Protocols.h[132]              HTTP server started on 0.0.0.0:80 (TCP)
30/07 20:47:15.3  NOTE   8816 Protocols.h[132]              WS server started on 0.0.0.0:80 (TCP)
30/07 20:47:15.3  NOTE   8816 Protocols.h[132]              HTTPS server started on 0.0.0.0:443 (TCP)
30/07 20:47:15.3  NOTE   8816 Protocols.h[132]              WSS server started on 0.0.0.0:443 (TCP)
30/07 20:47:18.4  INFO   8816 Server.cpp[175]               Server memory release
30/07 20:47:18.4  NOTE   8816 Server.cpp[179]               Server stopped
30/07 20:49:24.9  INFO   716 Application.cpp[130]           MonaTiny v1.265
30/07 20:49:25.0  NOTE   12256 Protocols.h[132]             RTMFP server started on 0.0.0.0:1935 (UDP)
30/07 20:49:25.0  NOTE   12256 Protocols.h[132]             RTMP server started on 0.0.0.0:1935 (TCP)
